customer_id,first_name,last_name,phone,email,street,city,state,zip_code,full_name
1,Debra,Burks,Not Provided,debra.burks@yahoo.com,9273 Thorne Ave. ,Orchard Park,NY,14127,Debra Burks
2,Kasha,Todd,Not Provided,kasha.todd@yahoo.com,910 Vine Street ,Campbell,CA,95008,Kasha Todd
3,Tameka,Fisher,Not Provided,tameka.fisher@aol.com,769C Honey Creek St. ,Redondo Beach,CA,90278,Tameka Fisher
4,Daryl,Spence,Not Provided,daryl.spence@aol.com,988 Pearl Lane ,Uniondale,NY,11553,Daryl Spence
5,Charolette,Rice,(916) 381-6003,charolette.rice@msn.com,107 River Dr. ,Sacramento,CA,95820,Charolette Rice
6,Lyndsey,Bean,Not Provided,lyndsey.bean@hotmail.com,769 West Road ,Fairport,NY,14450,Lyndsey Bean
7,Latasha,Hays,(716) 986-3359,latasha.hays@hotmail.com,7014 Manor Station Rd. ,Buffalo,NY,14215,Latasha Hays
8,Jacquline,Duncan,Not Provided,jacquline.duncan@yahoo.com,15 Brown St. ,Jackson Heights,NY,11372,Jacquline Duncan
9,Genoveva,Baldwin,Not Provided,genoveva.baldwin@msn.com,8550 Spruce Drive ,Port Washington,NY,11050,Genoveva Baldwin
10,Pamelia,Newman,Not Provided,pamelia.newman@gmail.com,476 Chestnut Ave. ,Monroe,NY,10950,Pamelia Newman
11,Deshawn,Mendoza,Not Provided,deshawn.mendoza@yahoo.com,8790 Cobblestone Street ,Monsey,NY,10952,Deshawn Mendoza
12,Robby,Sykes,(516) 583-7761,robby.sykes@hotmail.com,486 Rock Maple Street ,Hempstead,NY,11550,Robby Sykes
13,Lashawn,Ortiz,Not Provided,lashawn.ortiz@msn.com,27 Washington Rd. ,Longview,TX,75604,Lashawn Ortiz
14,Garry,Espinoza,Not Provided,garry.espinoza@hotmail.com,7858 Rockaway Court ,Forney,TX,75126,Garry Espinoza
15,Linnie,Branch,Not Provided,linnie.branch@gmail.com,314 South Columbia Ave. ,Plattsburgh,NY,12901,Linnie Branch
16,Emmitt,Sanchez,(212) 945-8823,emmitt.sanchez@hotmail.com,461 Squaw Creek Road ,New York,NY,10002,Emmitt Sanchez
17,Caren,Stephens,Not Provided,caren.stephens@msn.com,914 Brook St. ,Scarsdale,NY,10583,Caren Stephens
18,Georgetta,Hardin,Not Provided,georgetta.hardin@aol.com,474 Chapel Dr. ,Canandaigua,NY,14424,Georgetta Hardin
19,Lizzette,Stein,Not Provided,lizzette.stein@yahoo.com,19 Green Hill Lane ,Orchard Park,NY,14127,Lizzette Stein
20,Aleta,Shepard,Not Provided,aleta.shepard@aol.com,684 Howard St. ,Sugar Land,TX,77478,Aleta Shepard
